"Time","avg(disp_slipweakening (0))","avg(vel_slipweakening (0))"
10.35,2.5298,-0.0004867
10.4,2.5293,-0.019676
10.45,2.5286,-0.0033339
10.5,2.5288,0.0063929
10.55,2.5289,-0.0045272
10.6,2.5284,-0.013864
10.65,2.5277,-0.011038
10.7,2.5278,0.019606
10.75,2.5292,0.02716
10.8,2.5296,-0.011229
10.85,2.5285,-0.031437
10.9,2.5269,-0.027149
10.95,2.5258,-0.01731
11,2.5248,-0.022397
11.05,2.5237,-0.024655
11.1,2.5223,-0.026508
11.15,2.5217,0.0061074
11.2,2.5228,0.031371
11.25,2.5242,0.022429
11.3,2.5249,0.0034973
11.35,2.5247,-0.0055696
11.4,2.5251,0.027031
11.45,2.527,0.038599
11.5,2.5283,0.011187
11.55,2.5285,0.0011901
11.6,2.5283,-0.012609
11.65,2.5271,-0.034748
11.7,2.525,-0.047127
11.75,2.5228,-0.032949
11.8,2.5217,-0.015832
11.85,2.5208,-0.019463
11.9,2.5203,0.0029754
11.95,2.5213,0.033686
12,2.5233,0.046465
