"Time","avg(disp_slipweakening (0))","avg(vel_slipweakening (0))"
0,0,0
0.05,0,0
0.1,-1.4972e-98,-8.8443e-95
0.15,5.2685e-80,3.9015e-77
0.2,-1.6227e-68,-8.8071e-66
0.25,-2.8685e-60,-1.0173e-57
0.3,4.8321e-54,2.0615e-51
0.35,1.3452e-47,3.7164e-45
0.4,2.0138e-42,4.6704e-40
0.45,6.3934e-38,1.2944e-35
0.5,6.4525e-34,1.1608e-31
0.55,2.5542e-30,4.1162e-28
0.6,4.4989e-27,6.5182e-25
0.65,3.8547e-24,5.0287e-22
0.7,1.7222e-21,2.0227e-19
0.75,4.2115e-19,4.4328e-17
0.8,6.2439e-18,2.658e-16
0.85,3.704e-16,3.282e-14
0.9,2.2873e-14,1.7685e-12
0.95,8.2329e-13,5.5079e-11
1,1.8234e-11,1.0504e-09
1.05,2.6068e-10,1.2818e-08
1.1,2.4858e-09,1.0248e-07
1.15,1.6072e-08,5.3951e-07
1.2,7.2024e-08,1.92e-06
1.25,2.3655e-07,5.0054e-06
1.3,6.0729e-07,1.0127e-05
1.35,1.2842e-06,1.7669e-05
1.4,2.5271e-06,3.4075e-05
1.45,4.7676e-06,5.4259e-05
1.5,7.848e-06,7.1052e-05
1.55,1.2424e-05,0.00011755
1.6,1.9785e-05,0.00017671
1.65,3.0355e-05,0.00025279
1.7,4.6063e-05,0.00038789
1.75,7.0201e-05,0.00058222
1.8,0.00010387,0.00075475
1.85,0.00014523,0.00090669
1.9,0.00019577,0.0011164
1.95,0.00025441,0.0011915
2,0.00031371,0.0012032
2.05,0.00037731,0.0013394
2.1,0.00044471,0.0013332
2.15,0.00051268,0.0014329
2.2,0.00058964,0.0016203
2.25,0.00067144,0.0016253
2.3,0.00074828,0.0013955
2.35,0.00081066,0.0011841
2.4,0.00087779,0.001538
2.45,0.00095365,0.0013105
2.5,0.00099892,0.0005187
2.55,0.001008,-0.0002047
2.6,0.00096935,-0.0013864
2.65,0.00087588,-0.002206
2.7,0.00076352,-0.002168
2.75,0.00066923,-0.0015061
2.8,0.00061792,-0.00057597
2.85,0.00061073,0.00043202
2.9,0.00068755,0.0028002
2.95,0.00086667,0.0037574
3,0.0010055,0.0015685
3.05,0.0010596,0.0014215
3.1,0.0012209,0.0052998
3.15,0.0015576,0.0074721
3.2,0.0019075,0.0062631
3.25,0.00221,0.0064493
3.3,0.0025761,0.0077031
3.35,0.0029171,0.0059784
3.4,0.0032599,0.00859
3.45,0.0037713,0.011268
3.5,0.0043591,0.012335
3.55,0.00505,0.016227
3.6,0.0060094,0.020668
3.65,0.0069352,0.016397
3.7,0.0077808,0.018524
3.75,0.009066,0.036611
3.8,0.011592,0.0024731
3.85,0.032578,2.1817
3.9,0.21008,4.9425
3.95,0.40629,3.1768
4,0.53196,2.1373
4.05,0.6205,1.4674
4.1,0.69245,1.4627
4.15,0.75553,1.1148
4.2,0.80745,1.1057
4.25,0.86072,0.90306
4.3,0.90366,0.97179
4.35,0.94785,0.81906
4.4,0.9864,0.78293
4.45,1.0206,0.60604
4.5,1.0587,0.56768
4.55,1.0892,0.68309
4.6,1.12,0.57585
4.65,1.1501,0.60636
4.7,1.1775,0.5206
4.75,1.2062,0.63987
4.8,1.2327,0.42025
4.85,1.2537,0.53972
4.9,1.2793,0.4045
4.95,1.3025,0.5927
5,1.3281,0.45253
5.05,1.3497,0.48012
5.1,1.372,0.46033
5.15,1.3918,0.33539
5.2,1.4112,0.43344
5.25,1.4343,0.50559
5.3,1.459,0.36153
5.35,1.4733,0.33622
5.4,1.4923,0.38322
5.45,1.5133,0.44536
5.5,1.5343,0.34024
5.55,1.5487,0.27931
5.6,1.5693,0.51815
5.65,1.593,0.37954
5.7,1.61,0.34497
5.75,1.6289,0.35892
5.8,1.646,0.37363
5.85,1.6659,0.36252
5.9,1.682,0.32378
5.95,1.6973,0.30644
6,1.7135,0.36617
6.05,1.7325,0.38534
6.1,1.7513,0.39154
6.15,1.7709,0.35238
6.2,1.7852,0.21841
6.25,1.7961,0.24726
6.3,1.812,0.39065
6.35,1.8329,0.41954
6.4,1.8521,0.34535
6.45,1.8681,0.29285
6.5,1.8809,0.22689
6.55,1.8946,0.3645
6.6,1.916,0.43177
6.65,1.9355,0.36272
6.7,1.9526,0.31773
6.75,1.9691,0.36113
6.8,1.988,0.3873
6.85,2.0071,0.36915
6.9,2.0253,0.36841
6.95,2.044,0.38554
7,2.0641,0.40453
7.05,2.0831,0.35103
7.1,2.0993,0.30385
7.15,2.115,0.34739
7.2,2.1341,0.3967
7.25,2.1538,0.39518
7.3,2.1749,0.45205
7.35,2.1984,0.47417
7.4,2.2205,0.39998
7.45,2.2393,0.36485
7.5,2.2569,0.34228
7.55,2.2761,0.44288
7.6,2.2984,0.39691
7.65,2.3145,0.27399
7.7,2.3271,0.23331
7.75,2.3399,0.31225
7.8,2.3588,0.41524
7.85,2.3783,0.34492
7.9,2.393,0.25567
7.95,2.4055,0.25622
8,2.4189,0.27608
8.05,2.4323,0.24453
8.1,2.4421,0.15078
8.15,2.4488,0.12514
8.2,2.4538,0.062874
8.25,2.4558,0.037287
8.3,2.4583,0.059137
8.35,2.462,0.094483
8.4,2.4676,0.12451
8.45,2.4741,0.13896
8.5,2.4814,0.13375
8.55,2.4854,0.019202
8.6,2.4848,-0.011303
8.65,2.486,0.04923
8.7,2.4882,0.034402
8.75,2.4892,-0.0021743
8.8,2.4877,-0.040744
8.85,2.4876,0.052606
8.9,2.4932,0.16009
8.95,2.5014,0.13188
9,2.5035,-0.046652
9.05,2.4996,-0.081043
9.1,2.4968,-0.025664
9.15,2.4964,-0.008935
