"Time","avg(disp_slipweakening (0))","avg(vel_slipweakening (0))"
0,0,0
0.05,0,0
0.1,-2.4687e-79,7.5352e-76
0.15,-1.0711e-65,-6.1737e-63
0.2,-4.4149e-58,-9.5263e-56
0.25,1.1201e-53,-9.6195e-50
0.3,-1.1577e-45,-3.0359e-43
0.35,-9.4462e-41,-2.0877e-38
0.4,-2.332e-36,-4.6758e-34
0.45,-2.129e-32,-3.7552e-30
0.5,-6.7378e-29,-1.0474e-26
0.55,-9.2733e-26,-1.3046e-23
0.6,-7.0804e-23,-9.207e-21
0.65,-2.8097e-20,-2.9753e-18
0.7,5.6571e-18,1.0746e-15
0.75,7.9881e-16,6.2547e-14
0.8,2.362e-14,1.313e-12
0.85,2.874e-14,-1.2201e-11
0.9,-1.0916e-11,-7.7966e-10
0.95,-2.1752e-10,-1.1257e-08
1,-2.2406e-09,-9.4889e-08
1.05,-1.4888e-08,-4.927e-07
1.1,-6.0519e-08,-1.4237e-06
1.15,-1.7672e-07,-3.6697e-06
1.2,-4.9392e-07,-9.5828e-06
1.25,-1.1437e-06,-1.6311e-05
1.3,-2.1639e-06,-2.5315e-05
1.35,-3.7767e-06,-4.0844e-05
1.4,-6.4611e-06,-6.7941e-05
1.45,-1.0598e-05,-9.8211e-05
1.5,-1.6531e-05,-0.00014325
1.55,-2.5488e-05,-0.0002211
1.6,-3.9018e-05,-0.00032306
1.65,-5.8311e-05,-0.00045328
1.7,-8.4418e-05,-0.00059326
1.75,-0.00011857,-0.00078099
1.8,-0.00016147,-0.00090864
1.85,-0.00020823,-0.00098036
1.9,-0.00026253,-0.0012035
1.95,-0.00032695,-0.0013495
2,-0.00039608,-0.0014061
2.05,-0.00046744,-0.0014626
2.1,-0.00054382,-0.001596
2.15,-0.0006281,-0.001806
2.2,-0.00072487,-0.0019911
2.25,-0.00081248,-0.0013589
2.3,-0.00085215,-0.00018543
2.35,-0.00082811,0.0011071
2.4,-0.00076088,0.0012758
2.45,-0.00072391,0.00014161
2.5,-0.00072949,4.2515e-06
2.55,-0.00069207,0.0015396
2.6,-0.00060252,0.0016408
2.65,-0.00055133,0.00041175
2.7,-0.00053943,0.00045328
2.75,-0.0004673,0.0026213
2.8,-0.00029919,0.0035887
2.85,-0.00014103,0.0027714
2.9,-1.2944e-05,0.0022128
2.95,4.5708e-05,-0.00018579
3,-2.2139e-05,-0.0018033
3.05,-1.4092e-05,0.0032584
3.1,0.00030514,0.0080918
3.15,0.00059333,0.0020532
3.2,0.00056228,-0.0012951
3.25,0.0006184,0.0040463
3.3,0.00095981,0.009037
3.35,0.0014641,0.010071
3.4,0.0016803,0.0047954
3.45,0.0027653,-0.022035
3.5,-0.0018015,0.19005
3.55,0.088453,3.1628
3.6,0.29056,4.4326
3.65,0.4567,2.6024
3.7,0.56021,1.8082
3.75,0.64151,1.441
3.8,0.7033,1.1139
3.85,0.76551,1.0295
3.9,0.81412,1.1849
3.95,0.86156,0.85273
4,0.90548,0.86124
4.05,0.94494,0.81164
4.1,0.98121,0.63086
4.15,1.0157,0.68297
4.2,1.052,0.70845
4.25,1.0852,0.61661
4.3,1.1154,0.61424
4.35,1.1465,0.70145
4.4,1.1786,0.51348
4.45,1.203,0.61717
4.5,1.2328,0.41859
4.55,1.2583,0.59511
4.6,1.2873,0.51106
4.65,1.3111,0.50667
4.7,1.3393,0.57784
4.75,1.3624,0.3744
4.8,1.3853,0.48493
4.85,1.4111,0.54965
4.9,1.435,0.39405
4.95,1.4561,0.46063
5,1.48,0.51189
5.05,1.5062,0.45242
5.1,1.5257,0.36834
5.15,1.545,0.44032
5.2,1.5672,0.43529
5.25,1.59,0.47756
5.3,1.6126,0.37708
5.35,1.6317,0.41339
5.4,1.6529,0.41286
5.45,1.6716,0.36551
5.5,1.69,0.34852
5.55,1.7065,0.35172
5.6,1.7263,0.39831
5.65,1.7458,0.38699
5.7,1.7646,0.36791
5.75,1.7831,0.38134
5.8,1.8029,0.39437
5.85,1.8197,0.28192
5.9,1.8345,0.34586
5.95,1.8546,0.43771
6,1.8764,0.40231
6.05,1.8915,0.19688
6.1,1.9006,0.22704
6.15,1.9162,0.39105
6.2,1.9365,0.38021
6.25,1.9541,0.33891
6.3,1.9714,0.3534
6.35,1.9892,0.34402
6.4,2.0056,0.35021
6.45,2.0257,0.41208
6.5,2.0434,0.31029
6.55,2.0595,0.34238
6.6,2.0771,0.357
6.65,2.0952,0.36325
6.7,2.113,0.34999
6.75,2.1296,0.28932
6.8,2.1413,0.21344
6.85,2.1549,0.34641
6.9,2.1745,0.4158
6.95,2.1951,0.40257
7,2.2147,0.37659
7.05,2.2318,0.30293
7.1,2.2469,0.3333
7.15,2.266,0.41008
7.2,2.2859,0.38602
7.25,2.3045,0.3487
7.3,2.3201,0.27051
7.35,2.3323,0.24134
7.4,2.3464,0.33044
7.45,2.3653,0.42162
7.5,2.3872,0.43105
7.55,2.4075,0.38647
7.6,2.4262,0.36168
7.65,2.4443,0.36975
7.7,2.4632,0.38674
7.75,2.483,0.40079
7.8,2.5015,0.32305
7.85,2.5162,0.28685
7.9,2.5309,0.29651
7.95,2.5453,0.27359
8,2.5577,0.22201
8.05,2.5678,0.18084
8.1,2.5764,0.17403
8.15,2.5852,0.16857
8.2,2.5926,0.12937
8.25,2.5987,0.1181
8.3,2.6042,0.087265
8.35,2.6063,0.011937
8.4,2.6069,0.0077615
8.45,2.6064,-0.028084
8.5,2.6051,-0.0062627
8.55,2.6052,0.0076401
8.6,2.6054,-0.0040199
8.65,2.6052,0.0010378
8.7,2.6053,-0.0056436
8.75,2.6051,0.0057548
8.8,2.6056,0.013321
