"Time","avg(disp_slipweakening (0))","avg(vel_slipweakening (0))"
0,0,0
0.05,0,0
0.1,0,0
0.15,-2.0509e-102,-2.853e-99
0.2,-1.4592e-88,-9.4991e-86
0.25,3.3994e-79,2.0695e-76
0.3,8.4583e-71,3.0988e-68
0.35,2.3113e-64,6.6745e-62
0.4,6.5449e-59,1.6474e-56
0.45,6.5449e-54,1.5401e-51
0.5,3.3484e-49,7.3367e-47
0.55,7.9357e-45,1.5902e-42
0.6,8.0339e-41,1.4588e-38
0.65,3.5936e-37,5.9191e-35
0.7,7.7614e-34,1.165e-31
0.75,8.8532e-31,1.2165e-28
0.8,5.7482e-28,7.2562e-26
0.85,2.254e-25,2.6196e-23
0.9,5.5846e-23,5.9801e-21
0.95,9.0285e-21,8.8924e-19
1,9.5797e-19,8.5355e-17
1.05,-3.4845e-19,-3.9056e-16
1.1,-3.6185e-16,-2.9622e-14
1.15,-1.577e-14,-1.1142e-12
1.2,-4.1302e-13,-2.4925e-11
1.25,-6.3019e-12,-3.0539e-10
1.3,-4.7102e-11,-1.3977e-09
1.35,5.4669e-12,9.6118e-09
1.4,2.9925e-09,1.5663e-07
1.45,2.4229e-08,8.1557e-07
1.5,9.6728e-08,2.1746e-06
1.55,2.501e-07,4.1503e-06
1.6,5.6229e-07,9.1786e-06
1.65,1.2427e-06,1.8272e-05
1.7,2.3609e-06,2.6388e-05
1.75,4.0318e-06,4.3557e-05
1.8,6.9729e-06,7.4453e-05
1.85,1.1361e-05,0.00010126
1.9,1.7566e-05,0.00015493
1.95,2.7483e-05,0.00024489
2,4.2352e-05,0.00035549
2.05,6.3906e-05,0.0005171
2.1,9.491e-05,0.00072602
2.15,0.00013591,0.00090201
2.2,0.00018436,0.0010355
2.25,0.00023936,0.0011579
2.3,0.00029937,0.0012425
2.35,0.00036486,0.0013915
2.4,0.00043783,0.0014952
2.45,0.00051115,0.0014266
2.5,0.00058303,0.0015053
2.55,0.00066722,0.0018826
2.6,0.00076727,0.0020495
2.65,0.00086999,0.0020965
2.7,0.00097935,0.0022468
2.75,0.0010903,0.0021919
2.8,0.0012036,0.0023805
2.85,0.0013253,0.0024187
2.9,0.0014443,0.0024088
2.95,0.0015731,0.0027371
3,0.0017063,0.0024084
3.05,0.0017982,0.0011751
3.1,0.0018198,-0.00035731
3.15,0.0017566,-0.0021425
3.2,0.0016301,-0.0025059
3.25,0.0015376,-0.0011088
3.3,0.0015088,-0.0002023
3.35,0.0015085,0.00017904
3.4,0.0015318,0.0008416
3.45,0.0016016,0.0020301
3.5,0.00174,0.0035019
3.55,0.0019437,0.0045378
3.6,0.0021886,0.0052172
3.65,0.0024539,0.0052799
3.7,0.0027232,0.0057413
3.75,0.0030501,0.0073712
3.8,0.0034428,0.0081174
3.85,0.0038611,0.008836
3.9,0.0043588,0.011309
3.95,0.0049802,0.013181
4,0.0056383,0.012625
4.05,0.0062276,0.011872
4.1,0.0069371,0.016523
4.15,0.0078777,0.022974
4.2,0.0093498,0.033318
4.25,0.011088,0.042161
4.3,0.013136,-0.052963
4.35,0.076784,2.6953
4.4,0.26098,3.4991
4.45,0.4096,2.9343
4.5,0.53376,2.4758
4.55,0.6232,1.7248
4.6,0.69569,1.4855
4.65,0.75884,1.1492
4.7,0.81452,0.92307
4.75,0.86201,0.59845
4.8,0.90427,0.77161
4.85,0.94944,0.57982
4.9,0.98174,0.54651
4.95,1.0172,0.86167
5,1.0517,0.63466
5.05,1.0795,0.61161
5.1,1.1102,0.50812
5.15,1.1361,0.5218
5.2,1.1653,0.54431
5.25,1.1903,0.43486
5.3,1.2158,0.51956
5.35,1.2375,0.44612
5.4,1.2616,0.49389
5.45,1.2874,0.44786
5.5,1.3126,0.48092
5.55,1.3328,0.36712
5.6,1.3538,0.52689
5.65,1.3781,0.44048
5.7,1.3988,0.43167
5.75,1.4193,0.36788
5.8,1.4396,0.47349
5.85,1.4645,0.40339
5.9,1.484,0.37998
5.95,1.5037,0.37653
6,1.5218,0.38504
6.05,1.543,0.49243
6.1,1.5635,0.36807
6.15,1.5822,0.46294
6.2,1.6052,0.34341
6.25,1.6193,0.30905
6.3,1.6387,0.4268
6.35,1.6595,0.41404
6.4,1.6804,0.43536
6.45,1.701,0.39349
6.5,1.7189,0.32273
6.55,1.7361,0.36039
6.6,1.7567,0.41569
6.65,1.7773,0.38738
6.7,1.7951,0.34701
6.75,1.8116,0.35629
6.8,1.8309,0.40898
6.85,1.8509,0.3861
6.9,1.8699,0.35726
6.95,1.8881,0.38324
7,1.9081,0.40176
7.05,1.9278,0.40092
7.1,1.9479,0.40497
7.15,1.9671,0.34842
7.2,1.981,0.20027
7.25,1.9905,0.22842
7.3,2.0056,0.35134
7.35,2.024,0.37039
7.4,2.042,0.34947
7.45,2.0577,0.26654
7.5,2.0683,0.16894
7.55,2.076,0.15839
7.6,2.0864,0.26588
7.65,2.1012,0.28241
7.7,2.1128,0.19357
7.75,2.1218,0.17692
7.8,2.1298,0.14847
7.85,2.1382,0.19936
7.9,2.1496,0.25378
7.95,2.1633,0.27682
8,2.1765,0.25182
8.05,2.1891,0.2513
8.1,2.1998,0.16605
8.15,2.2071,0.14433
8.2,2.2141,0.13976
8.25,2.2226,0.2062
8.3,2.2338,0.22081
8.35,2.244,0.19295
8.4,2.2532,0.1694
8.45,2.2601,0.093083
8.5,2.2621,0.0024817
8.55,2.2626,0.03892
8.6,2.2667,0.12011
8.65,2.2726,0.087201
8.7,2.2746,0.0029306
8.75,2.2747,0.010948
8.8,2.2755,0.021418
8.85,2.2766,0.012887
8.9,2.2766,-0.009537
8.95,2.2757,-0.031498
9,2.2734,-0.050363
