"Time","avg(disp_slipweakening (0))","avg(vel_slipweakening (0))"
10,1.5353,-0.030391
10.05,1.536,0.05939
10.1,1.5393,0.050691
10.15,1.54,-0.01425
10.2,1.5381,-0.058917
10.25,1.5351,-0.061189
10.3,1.5319,-0.060061
10.35,1.5303,-0.00032023
10.4,1.5317,0.055781
10.45,1.5354,0.080886
10.5,1.538,0.013195
10.55,1.5372,-0.038645
10.6,1.5344,-0.071954
10.65,1.5311,-0.046123
10.7,1.53,-0.0064769
10.75,1.5295,-0.01244
10.8,1.5296,0.022574
10.85,1.5308,0.010468
10.9,1.5304,-0.021959
10.95,1.5295,-0.0021687
11,1.5311,0.067186
11.05,1.5343,0.035916
11.1,1.5339,-0.052355
11.15,1.532,-0.015224
11.2,1.5322,0.010505
11.25,1.532,-0.027772
11.3,1.5295,-0.056333
11.35,1.5275,-0.010778
11.4,1.5279,0.024554
11.45,1.5294,0.028057
11.5,1.5304,0.009992
11.55,1.5306,-0.0054287
11.6,1.5299,-0.019513
11.65,1.5291,-0.007692
11.7,1.5291,0.0071382
11.75,1.5295,0.0069511
11.8,1.5297,0.0025977
11.85,1.5297,-0.010702
11.9,1.5286,-0.025951
11.95,1.5278,-0.0060868
12,1.5274,-0.017523
