"Time","avg(disp_slipweakening (0))","avg(vel_slipweakening (0))"
0,0,0
0.05,0,0
0.1,3.8563e-86,1.3314e-82
0.15,4.8645e-70,3.2304e-67
0.2,5.0331e-60,2.5896e-57
0.25,8.4205e-52,3.1309e-49
0.3,3.001e-45,8.882e-43
0.35,9.9486e-40,2.4802e-37
0.4,6.1344e-35,1.3207e-32
0.45,9.965e-31,1.8763e-28
0.5,5.3403e-27,8.8692e-25
0.55,1.1147e-23,1.6424e-21
0.6,1.0222e-20,1.3356e-18
0.65,3.3705e-18,3.0687e-16
0.7,3.5048e-16,3.5003e-14
0.75,3.7215e-14,3.278e-12
0.8,2.195e-12,1.6686e-10
0.85,7.123e-11,4.5364e-09
0.9,1.2358e-09,6.2508e-08
0.95,1.0837e-08,3.9064e-07
1,4.3262e-08,8.0286e-07
1.05,5.826e-08,-6.6354e-07
1.1,-4.0854e-08,-2.974e-06
1.15,-1.6598e-07,-1.0851e-06
1.2,-8.412e-08,3.9158e-06
1.25,4.1791e-08,1.3021e-07
1.3,2.4084e-07,1.1435e-05
1.35,6.2094e-07,-7.7765e-06
1.4,-2.1132e-07,-4.9644e-06
1.45,8.6409e-07,2.7331e-05
1.5,5.7541e-07,-2.9073e-05
1.55,4.4454e-07,2.8877e-05
1.6,9.3309e-07,-3.4354e-05
1.65,-1.4798e-06,-1.6172e-05
1.7,1.2902e-06,9.445e-05
1.75,3.4713e-06,-1.3763e-05
1.8,2.2261e-06,-3.9308e-05
1.85,-2.3117e-06,-9.7297e-05
1.9,1.3907e-06,0.0002414
1.95,5.8448e-06,-0.00022512
2,-1.5697e-05,-0.00040575
2.05,-1.6956e-05,0.00036481
2.1,4.4754e-06,0.00027744
2.15,8.5204e-06,7.7387e-05
2.2,2.4611e-05,0.00043728
2.25,2.6403e-05,-0.00050004
2.3,-9.8143e-06,-0.00065679
2.35,-3.2194e-05,-0.00044285
2.4,-7.1484e-05,-0.0010364
2.45,-0.00010565,-5.4838e-05
2.5,-6.9841e-05,0.0013452
2.55,-8.0744e-06,0.00063323
2.6,-3.2315e-05,-0.0014259
2.65,-8.8642e-05,-4.0153e-05
2.7,-7.5377e-06,0.0027566
2.75,8.9517e-05,0.00058335
2.8,8.0289e-05,-0.00059505
2.85,2.3306e-05,-0.0014819
2.9,-1.419e-05,-5.141e-05
2.95,-2.9261e-05,-0.0011198
3,-0.00010735,-0.00095954
3.05,-0.0001075,0.00072955
3.1,-5.18e-05,0.00096037
3.15,-5.2481e-05,-0.001355
3.2,-0.00013264,-0.0019531
3.25,-0.00025929,-0.0017819
3.3,-0.00029546,-0.00031712
3.35,-0.00024056,0.0023099
3.4,-0.00018539,-0.00057792
3.45,-0.00024691,-0.0012277
3.5,-0.00022182,0.0031951
3.55,-1.4706e-06,0.0039596
3.6,0.00019326,0.0042789
3.65,0.00024949,-0.0035644
3.7,-0.00014608,-0.012179
3.75,-0.0011012,-0.025905
3.8,-0.0026742,-0.033665
3.85,-0.0036775,0.004877
3.9,-0.0015549,0.10448
3.95,0.0072757,0.24282
4,0.022381,0.34789
4.05,0.042268,0.45282
4.1,0.067139,0.53707
4.15,0.095837,0.6025
4.2,0.12724,0.65126
4.25,0.15998,0.65746
4.3,0.19234,0.63487
4.35,0.22299,0.58039
4.4,0.2507,0.53833
4.45,0.2766,0.50537
4.5,0.30137,0.47633
4.55,0.32485,0.4613
4.6,0.34737,0.44961
4.65,0.36938,0.43322
4.7,0.39148,0.45158
4.75,0.41413,0.44898
4.8,0.43739,0.47586
4.85,0.46164,0.49728
4.9,0.48708,0.53085
4.95,0.5144,0.56211
5,0.54302,0.57655
5.05,0.57169,0.55978
5.1,0.59934,0.55259
5.15,0.6266,0.54023
5.2,0.6535,0.53518
5.25,0.68004,0.52118
5.3,0.70587,0.51683
5.35,0.7313,0.50225
5.4,0.75636,0.50055
5.45,0.78129,0.49177
5.5,0.80568,0.48877
5.55,0.83004,0.47838
5.6,0.85343,0.47115
5.65,0.87729,0.47127
5.7,0.90083,0.47799
5.75,0.92486,0.48043
5.8,0.94872,0.47276
5.85,0.97228,0.46322
5.9,0.9948,0.44675
5.95,1.0171,0.44413
6,1.0389,0.42614
6.05,1.0603,0.43386
6.1,1.0817,0.41569
6.15,1.1018,0.38297
6.2,1.1202,0.36716
6.25,1.1402,0.44496
6.3,1.165,0.55061
6.35,1.1949,0.61765
6.4,1.2239,0.5291
6.45,1.2481,0.45424
6.5,1.2702,0.42935
6.55,1.2909,0.39906
6.6,1.3099,0.35881
6.65,1.3273,0.34605
6.7,1.3444,0.3344
6.75,1.3609,0.32341
6.8,1.3766,0.30669
6.85,1.3922,0.31864
6.9,1.4083,0.32907
6.95,1.4245,0.30738
7,1.4395,0.30315
7.05,1.4546,0.29788
7.1,1.4695,0.29704
7.15,1.4843,0.29711
7.2,1.4993,0.30231
7.25,1.5143,0.29418
7.3,1.5284,0.27505
7.35,1.542,0.26232
7.4,1.5541,0.21971
7.45,1.5637,0.16183
7.5,1.5705,0.11609
7.55,1.5757,0.091521
7.6,1.5797,0.070876
7.65,1.583,0.060572
7.7,1.5861,0.066825
7.75,1.5898,0.081345
7.8,1.5939,0.07771
7.85,1.5974,0.066574
7.9,1.6011,0.081791
7.95,1.6056,0.10085
8,1.6111,0.11633
8.05,1.6169,0.11089
8.1,1.622,0.095607
8.15,1.627,0.10759
8.2,1.6328,0.1255
8.25,1.6395,0.14003
8.3,1.6466,0.1426
8.35,1.6539,0.15537
8.4,1.6627,0.19969
8.45,1.6732,0.20656
8.5,1.6818,0.12673
8.55,1.6859,0.04207
8.6,1.6868,0.0089142
8.65,1.6872,0.0033027
