"Time","avg(disp_slipweakening (0))","avg(vel_slipweakening (0))"
0,0,0
0.05,1.7127e-49,-6.6792e-46
0.1,-7.6097e-36,3.2741e-34
0.15,5.1649e-28,1.9692e-25
0.2,3.85e-22,9.9849e-20
0.25,6.6171e-18,9.4707e-16
0.3,1.5217e-14,2.1436e-12
0.35,6.7041e-12,7.2462e-10
0.4,7.1835e-10,5.763e-08
0.45,1.8389e-08,8.9324e-07
0.5,6.3811e-08,-7.753e-07
0.55,-2.5451e-07,-1.0616e-05
0.6,-6.5124e-07,-7.0445e-06
0.65,-1.2957e-06,-1.2762e-05
0.7,-1.7572e-06,-2.1641e-05
0.75,-3.5393e-06,-1.6801e-05
0.8,-2.444e-06,1.5207e-05
0.85,-4.932e-06,-7.5924e-05
0.9,-6.401e-06,-1.5926e-05
0.95,-1.1304e-05,-0.00017148
1,-1.968e-05,-0.00015753
1.05,-3.1503e-05,-0.00037229
1.1,-5.4788e-05,-0.00042173
1.15,-6.0448e-05,0.0001003
1.2,-7.5376e-05,-0.00068344
1.25,-8.0643e-05,0.00072838
1.3,-1.989e-05,0.0015586
1.35,4.2888e-05,0.00022768
1.4,-2.6879e-05,-0.0027559
1.45,-0.00018112,-0.0036618
1.5,-0.0003765,-0.002051
1.55,-0.00025542,0.0049369
1.6,-0.00046899,-0.017446
1.65,-0.0024475,-0.027876
1.7,0.0017542,0.24402
1.75,0.020448,0.53159
1.8,0.051429,0.72079
1.85,0.0907,0.86954
1.9,0.13576,0.91019
1.95,0.18037,0.8549
2,0.22018,0.7192
2.05,0.25423,0.62545
2.1,0.28412,0.56459
2.15,0.31181,0.52721
2.2,0.33725,0.49782
2.25,0.36169,0.46444
2.3,0.38382,0.42584
2.35,0.4051,0.42668
2.4,0.42587,0.40232
2.45,0.44556,0.38668
2.5,0.46476,0.37808
2.55,0.48375,0.37782
2.6,0.50218,0.35695
2.65,0.5195,0.34025
2.7,0.53612,0.31629
2.75,0.55072,0.28157
2.8,0.56481,0.28007
2.85,0.57821,0.25413
2.9,0.59051,0.24174
2.95,0.60263,0.23716
3,0.6139,0.2073
3.05,0.62428,0.20837
3.1,0.63415,0.17714
3.15,0.64308,0.18846
3.2,0.65247,0.18465
3.25,0.66189,0.18982
3.3,0.67131,0.1921
3.35,0.68113,0.19391
3.4,0.69072,0.19249
3.45,0.70046,0.19534
3.5,0.71013,0.18645
3.55,0.71962,0.20279
3.6,0.73002,0.20738
3.65,0.74062,0.22267
3.7,0.7521,0.23152
3.75,0.76366,0.23341
3.8,0.7752,0.22581
3.85,0.78661,0.2347
3.9,0.79862,0.24568
3.95,0.81115,0.25308
4,0.8236,0.24329
4.05,0.83561,0.24011
4.1,0.84789,0.25303
4.15,0.86091,0.26309
4.2,0.87392,0.26333
4.25,0.88786,0.29368
4.3,0.90275,0.29695
4.35,0.91731,0.28669
4.4,0.93156,0.28287
4.45,0.94562,0.28157
4.5,0.95989,0.28981
4.55,0.97457,0.29868
4.6,0.98978,0.3075
4.65,1.0053,0.31096
4.7,1.0207,0.30595
4.75,1.0359,0.30246
4.8,1.0508,0.29429
4.85,1.0656,0.30216
4.9,1.0812,0.32136
4.95,1.0976,0.33258
5,1.1144,0.33671
5.05,1.1312,0.33719
5.1,1.1479,0.3291
5.15,1.1643,0.32805
5.2,1.181,0.34274
5.25,1.1986,0.36105
5.3,1.2169,0.37054
5.35,1.2356,0.37492
5.4,1.2543,0.36899
5.45,1.2723,0.35478
5.5,1.2902,0.36115
5.55,1.3084,0.36738
5.6,1.3271,0.38453
5.65,1.3469,0.4015
5.7,1.3668,0.39934
5.75,1.3873,0.42081
5.8,1.4087,0.43458
5.85,1.4308,0.45169
5.9,1.4544,0.49893
5.95,1.4811,0.56745
6,1.5103,0.58376
6.05,1.5379,0.50988
6.1,1.5613,0.43452
6.15,1.5821,0.40626
6.2,1.6022,0.39639
6.25,1.6218,0.38638
6.3,1.641,0.38107
6.35,1.6596,0.36176
6.4,1.6769,0.3313
6.45,1.693,0.31416
6.5,1.7085,0.30802
6.55,1.7237,0.29697
6.6,1.7386,0.30444
6.65,1.7543,0.3218
6.7,1.7706,0.32884
6.75,1.787,0.32763
6.8,1.8035,0.33067
6.85,1.8197,0.31594
6.9,1.8347,0.28198
6.95,1.8479,0.24887
7,1.8602,0.24788
7.05,1.8731,0.26836
7.1,1.8868,0.2751
7.15,1.9006,0.28309
7.2,1.9155,0.31347
7.25,1.9315,0.31967
7.3,1.9469,0.29226
7.35,1.9607,0.26418
7.4,1.9736,0.25035
7.45,1.986,0.24814
7.5,1.9984,0.24275
7.55,2.0097,0.20767
7.6,2.0195,0.19218
7.65,2.0293,0.20346
7.7,2.0399,0.21994
7.75,2.0514,0.23877
7.8,2.0635,0.2401
7.85,2.0751,0.21964
7.9,2.0852,0.18385
7.95,2.0933,0.14073
8,2.0991,0.08758
8.05,2.1024,0.051114
8.1,2.1047,0.044024
8.15,2.1066,0.029685
8.2,2.1075,0.0084591
8.25,2.1079,0.0099303
8.3,2.1088,0.028103
8.35,2.1106,0.041922
8.4,2.1128,0.044544
8.45,2.1152,0.051843
8.5,2.1178,0.04681
8.55,2.1196,0.025307
8.6,2.1205,0.014001
8.65,2.1214,0.027023
8.7,2.1232,0.044495
8.75,2.1255,0.04564
8.8,2.1278,0.044452
8.85,2.1299,0.03588
