"Time","avg(disp_slipweakening (0))","avg(vel_slipweakening (0))"
0,0,0
0.05,0,0
0.1,4.8151e-79,1.3298e-75
0.15,-6.2011e-66,-3.682e-63
0.2,-8.0223e-58,-2.6853e-55
0.25,-3.051e-51,-9.9853e-49
0.3,-2.0713e-45,-5.2343e-43
0.35,-1.0798e-40,-2.2527e-38
0.4,-1.8723e-36,-3.7502e-34
0.45,-2.0394e-32,-3.7081e-30
0.5,-7.9246e-29,-1.255e-26
0.55,-1.1314e-25,-1.5727e-23
0.6,-7.0829e-23,-8.737e-21
0.65,-2.258e-20,-2.5017e-18
0.7,-3.9648e-18,-3.5984e-16
0.75,-2.2447e-16,-1.9187e-14
0.8,-1.2018e-14,-8.8837e-13
0.85,-3.4299e-13,-2.0727e-11
0.9,-4.7577e-12,-2.1017e-10
0.95,-2.3322e-11,-3.2992e-10
1,6.1063e-11,5.6802e-09
1.05,5.9889e-10,1.0471e-08
1.1,-5.7824e-10,-8.2094e-08
1.15,-8.5265e-09,-2.158e-07
1.2,-1.8903e-08,-1.864e-07
1.25,-2.9764e-08,-2.8247e-07
1.3,-4.5703e-08,-3.0279e-07
1.35,-5.9744e-08,-3.2548e-07
1.4,-8.1384e-08,-4.6386e-07
1.45,-9.1565e-08,2.0327e-07
1.5,-4.971e-08,1.5757e-06
1.55,7.9391e-08,3.7839e-06
1.6,3.6468e-07,8.2001e-06
1.65,9.4021e-07,1.4644e-05
1.7,1.7979e-06,2.0497e-05
1.75,3.2721e-06,4.1816e-05
1.8,6.0528e-06,6.7615e-05
1.85,9.9863e-06,9.286e-05
1.9,1.5912e-05,0.0001499
1.95,2.5266e-05,0.00022479
2,3.8589e-05,0.00031441
2.05,5.7734e-05,0.00046262
2.1,8.5565e-05,0.0006527
2.15,0.00012285,0.00083341
2.2,0.0001676,0.00093619
2.25,0.00021541,0.0009909
2.3,0.00027027,0.0012309
2.35,0.00033588,0.0013173
2.4,0.00039671,0.0011393
2.45,0.00045848,0.0014113
2.5,0.00053644,0.0016127
2.55,0.00061326,0.001483
2.6,0.00069224,0.0017245
2.65,0.00078265,0.0018343
2.7,0.00087758,0.0020584
2.75,0.00099277,0.0024551
2.8,0.0011056,0.0019486
2.85,0.0011963,0.0018846
2.9,0.0013028,0.0022754
2.95,0.0014112,0.0020622
3,0.0015215,0.0024285
3.05,0.0016344,0.0016283
3.1,0.0016435,-0.0013655
3.15,0.001531,-0.0025246
3.2,0.0014391,-0.00098361
3.25,0.0014182,-0.00016139
3.3,0.0014,-0.00064197
3.35,0.001361,-0.00074248
3.4,0.0013472,0.00036998
3.45,0.0014004,0.0016324
3.5,0.0014956,0.002103
3.55,0.0016212,0.0032106
3.6,0.0018478,0.0060013
3.65,0.0022051,0.0078714
3.7,0.0025904,0.0072167
3.75,0.0029127,0.0056619
3.8,0.0031712,0.0050458
3.85,0.0034558,0.0065565
3.9,0.0038366,0.0087036
3.95,0.0043067,0.0098447
4,0.0048474,0.012219
4.05,0.0054648,0.011199
4.1,0.0059688,0.010075
4.15,0.0065508,0.014454
4.2,0.0075548,0.024369
4.25,0.0088311,0.029129
4.3,0.010673,0.0035237
4.35,0.050664,2.3188
4.4,0.21794,3.7433
4.45,0.36216,2.857
4.5,0.50218,2.3668
4.55,0.61006,1.568
4.6,0.69644,1.6406
4.65,0.78337,1.4699
4.7,0.84163,1.5355
4.75,0.90958,1.3286
4.8,0.96623,1.1332
4.85,1.0243,1.0608
4.9,1.0795,0.88743
4.95,1.1285,0.875
5,1.1728,0.89456
5.05,1.2181,0.99568
5.1,1.2578,0.71778
5.15,1.2956,0.78418
5.2,1.3336,0.71813
5.25,1.3713,0.73126
5.3,1.4026,0.5251
5.35,1.4342,0.76408
5.4,1.4679,0.48147
5.45,1.4928,0.6433
5.5,1.5242,0.56353
5.55,1.5476,0.47754
5.6,1.5745,0.53933
5.65,1.599,0.39051
5.7,1.6192,0.43339
5.75,1.6425,0.51905
5.8,1.6681,0.48774
5.85,1.6889,0.39842
5.9,1.707,0.35746
5.95,1.7273,0.38325
6,1.7477,0.43657
6.05,1.7696,0.41218
6.1,1.7895,0.45844
6.15,1.8117,0.36777
6.2,1.8267,0.28497
6.25,1.8423,0.34145
6.3,1.8626,0.43487
6.35,1.8846,0.42074
6.4,1.9046,0.40605
6.45,1.9249,0.39371
6.5,1.9427,0.31938
6.55,1.9584,0.33549
6.6,1.9767,0.40827
6.65,1.9983,0.42664
6.7,2.0169,0.33209
6.75,2.0343,0.35084
6.8,2.0517,0.35209
6.85,2.0711,0.39915
6.9,2.088,0.27842
6.95,2.1011,0.27868
7,2.1148,0.22415
7.05,2.122,0.073117
7.1,2.1241,0.050442
7.15,2.128,0.082897
7.2,2.1305,0.023759
7.25,2.132,0.04144
7.3,2.1354,0.088244
7.35,2.1405,0.11941
7.4,2.1471,0.12362
7.45,2.1506,0.040817
7.5,2.1545,0.11768
7.55,2.159,0.036022
7.6,2.1603,0.059674
7.65,2.1673,0.21535
7.7,2.1793,0.24154
7.75,2.1894,0.16
7.8,2.1965,0.14337
7.85,2.2054,0.20564
7.9,2.2171,0.27448
7.95,2.2351,0.45323
8,2.2601,0.50758
8.05,2.2797,0.22568
8.1,2.2836,-0.013191
8.15,2.2834,0.024064
8.2,2.285,0.041192
8.25,2.2881,0.066932
8.3,2.2906,0.026023
8.35,2.2916,0.032156
8.4,2.2937,0.039215
8.45,2.294,-0.040694
8.5,2.2904,-0.082704
8.55,2.2883,0.016872
8.6,2.2913,0.078083
8.65,2.2943,0.032474
8.7,2.2945,-0.011056
8.75,2.2933,-0.036645
8.8,2.2921,-0.00035375
8.85,2.2936,0.039978
