"Time","avg(disp_slipweakening (0))","avg(vel_slipweakening (0))"
0,0,0
0.05,0,0
0.1,0,0
0.15,2.02e-123,3.8431e-120
0.2,1.4013e-108,1.0762e-105
0.25,1.4265e-96,8.503e-94
0.3,1.9767e-87,8.4658e-85
0.35,4.5894e-80,1.5584e-77
0.4,7.1091e-74,2.0064e-71
0.45,1.5447e-68,3.7446e-66
0.5,8.6086e-64,1.8916e-61
0.55,2.7134e-59,5.8177e-57
0.6,6.4285e-55,1.3106e-52
0.65,8.3031e-51,1.567e-48
0.7,5.496e-47,9.5998e-45
0.75,1.9858e-43,3.2227e-41
0.8,4.1701e-40,6.3058e-38
0.85,5.3488e-37,7.5523e-35
0.9,4.367e-34,5.7665e-32
0.95,2.3506e-31,2.9064e-29
1,8.5976e-29,9.9617e-27
1.05,2.1923e-26,2.3812e-24
1.1,3.9822e-24,4.0539e-22
1.15,5.242e-22,4.9962e-20
1.2,5.0475e-20,4.4835e-18
1.25,3.1726e-18,2.2065e-16
1.3,1.3941e-17,7.3802e-16
1.35,3.8566e-16,2.8626e-14
1.4,1.3494e-14,9.1847e-13
1.45,3.343e-13,2.0323e-11
1.5,5.7499e-12,3.0633e-10
1.55,6.7366e-11,3.0482e-09
1.6,5.1821e-10,1.8775e-08
1.65,2.4254e-09,6.0422e-08
1.7,5.443e-09,2.1091e-08
1.75,-3.8638e-09,-5.1933e-07
1.8,-5.7324e-08,-1.6382e-06
1.85,-1.5131e-07,-1.7774e-06
1.9,-2.0071e-07,-4.2383e-08
1.95,-1.7452e-07,6.5938e-07
2,-1.614e-07,-8.5433e-08
2.05,-1.9051e-07,-1.8269e-06
2.1,-4.6464e-07,-9.6173e-06
2.15,-9.9232e-07,-8.8234e-06
2.2,-1.3322e-06,-7.9137e-06
2.25,-2.0043e-06,-1.6945e-05
2.3,-2.6174e-06,-6.3257e-06
2.35,-2.9206e-06,-7.2964e-06
2.4,-2.7954e-06,2.0412e-05
2.45,-1.0754e-06,3.4121e-05
2.5,-7.5634e-07,-2.3804e-05
2.55,-2.4641e-06,-3.109e-05
2.6,-3.1689e-06,4.6481e-06
2.65,-2.0972e-06,3.0996e-05
2.7,-1.5282e-06,-1.9947e-05
2.75,-3.2073e-06,-2.1895e-05
2.8,-2.5268e-06,3.3251e-05
2.85,-2.9394e-06,-7.2633e-05
2.9,-9.0305e-06,-0.00013453
2.95,-1.2534e-05,1.3633e-05
3,-8.1354e-06,0.00015066
3.05,9.794e-07,0.00016711
3.1,1.1266e-09,-0.00027182
3.15,-1.9388e-05,-0.00030558
3.2,-1.4852e-05,0.00048007
3.25,1.1049e-05,0.00032638
3.3,8.3047e-06,-0.00034634
3.35,-3.7696e-06,5.2531e-05
3.4,1.6287e-05,0.00060404
3.45,3.8038e-05,0.00014876
3.5,3.1255e-05,-0.00034536
3.55,1.2425e-05,-0.00030855
3.6,8.3936e-06,0.00015106
3.65,1.5078e-05,-8.3543e-05
3.7,-9.5327e-06,-0.00081512
3.75,-4.6839e-05,-0.00049039
3.8,-5.148e-05,0.00027565
3.85,-2.5934e-05,0.000661
3.9,3.6351e-06,0.00039126
3.95,4.9219e-06,-0.00032568
4,-1.984e-05,-0.00055874
4.05,-4.3288e-05,-0.000318
4.1,-4.7445e-05,0.00016495
4.15,-2.5936e-05,0.00069312
4.2,1.0218e-05,0.00050301
4.25,9.3245e-06,-0.00042392
4.3,-9.5719e-06,-0.00026374
4.35,-3.1908e-05,-0.00076619
4.4,-7.7723e-05,-0.00084423
4.45,-9.7194e-05,0.00018806
4.5,-5.9766e-05,0.0011553
4.55,1.0608e-06,0.0011558
4.6,4.4122e-05,0.00045473
4.65,4.9494e-05,-8.0495e-05
4.7,4.0164e-05,-0.00043716
4.75,-4.3647e-06,-0.0012708
4.8,-7.2334e-05,-0.0013312
4.85,-0.00012646,-0.00069146
4.9,-0.00013358,0.00031217
4.95,-0.00011654,0.00021449
5,-0.00010997,0.00023
5.05,-7.3613e-05,0.0012371
5.1,-6.1977e-06,0.0012623
5.15,3.5981e-05,0.00011651
5.2,-2.7255e-06,-0.0020535
5.25,-0.00025445,-0.02118
5.3,0.012613,0.92365
5.35,0.068264,1.1708
5.4,0.13849,1.6207
5.45,0.23387,1.9264
5.5,0.33489,2.0496
5.55,0.42593,1.6355
5.6,0.49845,1.3839
5.65,0.56283,1.1321
5.7,0.6166,0.97365
5.75,0.66463,0.95692
5.8,0.70857,0.82597
5.85,0.74605,0.71199
5.9,0.78118,0.6616
5.95,0.81384,0.64672
6,0.84613,0.63553
6.05,0.876,0.60599
6.1,0.9063,0.58106
6.15,0.93525,0.61341
6.2,0.96513,0.54473
6.25,0.99254,0.55144
6.3,1.0195,0.53855
6.35,1.0479,0.56897
6.4,1.0746,0.50789
6.45,1.1005,0.53297
6.5,1.1265,0.49656
6.55,1.1508,0.46858
6.6,1.1734,0.44514
6.65,1.1951,0.41871
6.7,1.2142,0.33816
6.75,1.2282,0.21986
6.8,1.2355,0.061858
6.85,1.2362,-0.013542
6.9,1.2351,-0.010059
6.95,1.2382,0.17413
7,1.2531,0.41354
7.05,1.2768,0.49418
7.1,1.3014,0.4999
7.15,1.3255,0.40897
7.2,1.3411,0.23712
7.25,1.3502,0.13031
7.3,1.3555,0.10559
7.35,1.3597,0.047759
7.4,1.3603,-0.0010313
7.45,1.3602,-0.0031949
7.5,1.3605,0.023096
7.55,1.3621,0.021744
7.6,1.3628,0.013115
7.65,1.3629,-0.010033
7.7,1.3625,0.0011685
7.75,1.3628,-0.002411
7.8,1.3621,-0.017476
7.85,1.3617,0.0025024
7.9,1.3618,0.0018674
7.95,1.362,0.0028824
