time,_dt,maxvelx,maxvely
-1e-12,0,0,0
0.009999999999,0.01,0,0
0.024999999999,0.015,5.0003260791224e-09,1.4878764886816e-09
0.047499999999,0.0225,1.2500499401035e-08,2.2410517885874e-09
0.081249999999,0.03375,1.2500420451842e-08,2.3085796648822e-09
0.131874999999,0.050625,1.2500578350227e-08,4.7997951292523e-09
0.207812499999,0.0759375,1.2500560805962e-08,5.0395901443726e-09
0.321718749999,0.11390625,1.2500500375716e-08,4.8916763948417e-09
0.492578124999,0.170859375,1.4803605092765e-08,6.1931554636446e-09
0.748867187499,0.2562890625,1.492569342689e-08,5.60383840129e-09
